pillar,sub_pillar,title,description,doc_type,code,url,industry,status,effective_date
Risk Management,Operational Risk,GPG 232 Custody Arrangements,GPG 232 Custody Arrangements provides guidance for general insurers on their operational risk management requirements.,Prudential practice guide,GPG 232,https://handbook.apra.gov.au/ppg/gpg-232,General insurance,Current,1 October 2006
Risk Management,Credit Risk,GPG 220 Credit Risk,GPG 220 Credit Risk provides guidance for general insurers on their credit risk management requirements.,Prudential practice guide,GPG 220,https://handbook.apra.gov.au/ppg/gpg-220,General insurance,Current,1 July 2008
Risk Management,Insurance Risk,LPG 270 Group Insurance Arrangements,LPG 270 Group Insurance Arrangements provides guidance to life insurers on their core risk management requirements.,Prudential practice guide,LPG 270,https://handbook.apra.gov.au/ppg/lpg-270,Life insurance,Current,1 October 2014
Financial Resilience,Other,LPG 700 Friendly Society Benefit Funds,LPG 700 Friendly Society Benefit Funds provides guidance to friendly societies on LPS 700 Friendly Society Benefit Funds.,Prudential practice guide,LPG 700,https://handbook.apra.gov.au/ppg/lpg-700,Life insurance,Current,1 September 2013
Governance,Actuarial,CPG 320 Actuarial and Related Matters,CPG 320 Actuarial and Related Matters provides guidance to insurers on CPS 320 Actuarial and Related Matters.,Prudential practice guide,CPG 320,https://handbook.apra.gov.au/ppg/cpg-320,"General insurance, Life insurance, Private health insurance",Current,1 July 2019
Governance,Accountability,LPG 260 Conflicts of Interest Under Section 48,LPG 260 Conflicts of Interest Under Section 48 provides guidance for life insurers on their legislative requirements under the Life Insurance Act 1995.,Prudential practice guide,LPG 260,https://handbook.apra.gov.au/ppg/lpg-260,Life insurance,Current,1 March 2007
Governance,Board,HPG 510 Governance,HPG 510 Governance provides guidance for private health insurers on CPS 510 Governance.,Prudential practice guide,HPG 510,https://handbook.apra.gov.au/ppg/hpg-510,Private health insurance,Current,1 July 2019
Risk Management,Operational Risk,CPG 230 Operational Risk Management,"CPG 230 Operational Risk Management assists entities with the implementation of, and compliance with, CPS 230",Prudential practice guide,CPG 230,https://handbook.apra.gov.au/ppg/cpg-230,"Banking, General insurance, Life insurance, Private health insurance, Superannuation",Current,13 June 2024
Business Operations,Business Operations,SPG 114 Operational Risk Financial Requirement,SPG 114 Operational Risk Financial Requirement provides guidance for RSE licensees on SPS 114 Operational Risk Financial Requirement,Prudential practice guide,SPG 114,https://handbook.apra.gov.au/ppg/spg-114,Superannuation,Current,1 July 2025
Business Operations,Business Operations,SPG 515 Strategic Planning and Member Outcomes,"Prudential Practice Guide SPG 515 Strategic Planning and Member Outcomes  provides APRA’s view of sound practice in strategic and business planning, financial resource management, implementation of the retirement income covenant and fund transfers, to ensure members’ interests are front-and-centre of trustees’ business operations.",Prudential practice guide,SPG 515,https://handbook.apra.gov.au/ppg/spg-515,Superannuation,Current,1 July 2025
Risk Management,Operational Risk,CPG 234 Information Security,CPG 234 Information Security provides guidance to all entities on CPS 234 Information Security.,Prudential practice guide,CPG 234,https://handbook.apra.gov.au/ppg/cpg-234,"Banking, General insurance, Life insurance, Private health insurance, Superannuation",Current,1 June 2019
Risk Management,Credit Risk,3PG 221 Aggregate Risk Exposures,3PG 221 Aggregate Risk Exposures provides guidance to level 3 heads on 3PS 221 Aggregate Risk Exposures.,Prudential practice guide,3PG 221,https://handbook.apra.gov.au/ppg/3pg-221,"Banking, General insurance, Life insurance",Current,1 July 2017
Governance,Accountability,SPG 520 Fit and Proper,SPG 520 Fit and Proper provides guidance for RSE licensees on SPS 520 Fit and Proper.,Prudential practice guide,SPG 520,https://handbook.apra.gov.au/ppg/spg-520,Superannuation,Current,30 June 2024
Governance,Accountability,SPG 521 Conflicts of Interest,SPG 521 Conflicts of Interest provides guidance for RSE licensees on SPS 521 Conflicts of Interest.,Prudential practice guide,SPG 521,https://handbook.apra.gov.au/ppg/spg-521,Superannuation,Current,1 July 2013
Governance,Board,SPG 510 Governance,SPG 510 Governance provides guidance to RSE licensees on SPS 510 Governance.,Prudential practice guide,SPG 510,https://handbook.apra.gov.au/ppg/spg-510,Superannuation,Current,1 January 2024
Financial Resilience,Capital,APG 113 Capital Adequacy: Internal Ratings-based Approach to Credit Risk,Prudential Practice Guide APG 113 Capital Adequacy: Internal Ratings-based Approach to Credit Risk provides guidance to ADIs on using the IRB approach to credit risk.,Prudential practice guide,APG 113,https://handbook.apra.gov.au/ppg/apg-113,Banking,Current,30 September 2024
Financial Resilience,Capital,APG 116 Market Risk,APG 116 Market Risk provides guidance for ADIs on APS 116 Market Risk.,Prudential practice guide,APG 116,https://handbook.apra.gov.au/ppg/apg-116,Banking,Current,1 January 2012
Financial Resilience,Capital,CPG 110 Internal Capital Adequacy Assessment Process and Supervisory Review,CPG 110 Internal Capital Adequacy Assessment Process and Supervisory Review provides guidance for entities on their core financial resilience requirements.,Prudential practice guide,CPG 110,https://handbook.apra.gov.au/ppg/cpg-110,"Banking, General insurance, Life insurance, Private health insurance",Current,1 January 2024
Business Operations,Business Operations,SPG 270 Contribution and Benefit Accrual Standards,SPG 270 Contribution and Benefit Accrual Standards provides guidance to RSE licensees on member contributions and benefit accruals requirements.,Prudential practice guide,SPG 270,https://handbook.apra.gov.au/ppg/spg-270,Superannuation,Current,1 November 2013
Financial Resilience,Liquidity,APG 210 Liquidity,APG 210 Liquidity provides guidance to ADIs on APS 210 Liquidity,Prudential practice guide,APG 210,https://handbook.apra.gov.au/ppg/apg-210,Banking,Current,1 July 2025
Financial Resilience,Capital,APG 112 Capital Adequacy: Standardised Approach to Credit Risk,Prudential Practice Guide APG 112 Capital Adequacy: Standardised Approach to Credit Risk provides guidance to ADIs on the standardised approach to credit risk.,Prudential practice guide,APG 112,https://handbook.apra.gov.au/ppg/apg-112,Banking,Current,30 September 2024
Risk Management,Credit Risk,APG 223 Residential Mortgage Lending,APG 223 Residential Mortgage Lending provides guidance for ADIs on their core risk management requirements.,Prudential practice guide,APG 223,https://handbook.apra.gov.au/ppg/apg-223,Banking,Current,19 June 2025
Financial Resilience,Capital,APG 117 Interest Rate Risk in the Banking Book,APG 117 Interest Rate Risk in the Banking Book provides guidance for ADIs on APS 117 Interest Rate Risk.,Prudential practice guide,APG 117,https://handbook.apra.gov.au/ppg/apg-117,Banking,Current,1 October 2025
Risk Management,Risk Management,CPG 220 Risk Management,"CPG 220 Risk Management provides guidance to ADIs, general insurers, life insurers and private health insurers on CPS 220 Risk Management.",Prudential practice guide,CPG 220,https://handbook.apra.gov.au/ppg/cpg-220,"Banking, General insurance, Life insurance, Private health insurance",Current,1 April 2018
Business Operations,Business Operations,SPG 280 Payment Standards,"SPG 280 Payment Standards provides guidance for RSE licensees on the SIS Act, SIS Regulations and other requirements.",Prudential practice guide,SPG 280,https://handbook.apra.gov.au/ppg/spg-280,Superannuation,Current,1 June 2017
Risk Management,Operational Risk,CPG 235 Managing Data Risk,CPG 235 Managing Data Risk provides guidance for all entities on their core risk management requirements.,Prudential practice guide,CPG 235,https://handbook.apra.gov.au/ppg/cpg-235,"Banking, General insurance, Life insurance, Superannuation",Current,1 September 2013
Risk Management,Risk Management,SPG 220 Risk Management,SPG 220 Risk Management provides guidance for RSE licensees on SPS 220 Risk Management.,Prudential practice guide,SPG 220,https://handbook.apra.gov.au/ppg/spg-220,Superannuation,Current,1 July 2013
Governance,Accountability,GPG 520 Fit and Proper,GPG 520 Fit and Proper provides guidance for general insurers on CPS 520 Fit and Proper.,Prudential practice guide,GPG 520,https://handbook.apra.gov.au/ppg/gpg-520,General insurance,Current,1 July 2008
Business Operations,Business Operations,SPG 160 Defined Benefit Matters,SPG 160 Defined Benefit Matters provides guidance to RSE Licensees on SPS 160 Defined Benefit Matters.,Prudential practice guide,SPG 160,https://handbook.apra.gov.au/ppg/spg-160,Superannuation,Current,1 November 2013
Financial Resilience,Capital,APG 110 Capital Adequacy,Prudential Practice Guide APG 110 Capital Adequacy provides guidance for ADIs on Prudential Standard APS 110 Capital Adequacy.,Prudential practice guide,APG 110,https://handbook.apra.gov.au/ppg/apg-110,Banking,Current,30 September 2024
Governance,Accountability,SPG 520 Fit and Proper,SPG 520 Fit and Proper provides guidance for RSE licensees on SPS 520 Fit and Proper.,Prudential practice guide,SPG 520,https://handbook.apra.gov.au/ppg/spg-520-superseded,Superannuation,Superseded,1 July 2013
Financial Resilience,Capital,APG 110 Capital Adequacy,APG 110 Capital Adequacy provides guidance for ADIs on APS 110 Capital Adequacy.,Prudential practice guide,APG 110,https://handbook.apra.gov.au/ppg/apg-110-superseded,Banking,Superseded,1 January 2023
Financial Resilience,Capital,APG 113 Capital Adequacy: Internal Ratings-based Approach to Credit Risk,APG 113 Capital Adequacy: Internal Ratings-based Approach to Credit Risk provides guidance to ADIs on using the IRB approach to credit risk.,Prudential practice guide,APG 113,https://handbook.apra.gov.au/ppg/apg-113-superseded,Banking,Superseded,1 January 2023
Governance,Audit,SPG 310 Audit and Related Matters,SPG 310 Audit and Related Matters provides guidance to RSE licensees on SPS 310 Audit and Related Matters.,Prudential practice guide,SPG 310,https://handbook.apra.gov.au/ppg/spg-310-superseded,Superannuation,Superseded,1 May 2018
Financial Resilience,Liquidity,APG 210 Liquidity,APG 210 Liquidity provides guidance for ADIs on APS 210 Liquidity.,Prudential practice guide,APG 210,https://handbook.apra.gov.au/ppg/apg-210-superseded,Banking,Superseded,1 December 2022
Financial Resilience,Capital,APG 112 Capital Adequacy: Standardised Approach to Credit Risk,APG 112 Capital Adequacy: Standardised Approach to Credit Risk provides guidance to ADIs on the standardised approach to credit risk.,Prudential practice guide,APG 112,https://handbook.apra.gov.au/ppg/apg-112-superseded,Banking,Superseded,1 January 2023
Risk Management,Insurance Risk,GPG 240 Insurance Risk,GPG 240 Insurance Risk provides guidance for general insurers on their insurance risk management requirements.,Prudential practice guide,GPG 240,https://handbook.apra.gov.au/ppg/gpg-240-superseded,General insurance,Superseded,1 February 2006
Risk Management,Operational Risk,LPG 232 Business Continuity Management,LPG 232 Business Continuity Management provides guidance for life insurers on their operational risk management requirements.,Prudential practice guide,LPG 232,https://handbook.apra.gov.au/ppg/lpg-232-superseded,Life insurance,Superseded,1 March 2007
Risk Management,Operational Risk,GPG 230 Operational Risk,GPG 230 Operational Risk provides guidance for general insurers on their operational risk requirements.,Prudential practice guide,GPG 230,https://handbook.apra.gov.au/ppg/gpg-230-superseded,General insurance,Superseded,1 February 2006
Risk Management,Operational Risk,LPG 230 Operational Risk,LPG 230 Operational Risk provides guidance for life insurers on their operational risk management requirements.,Prudential practice guide,LPG 230,https://handbook.apra.gov.au/ppg/lpg-230-superseded,Life insurance,Superseded,1 March 2007
Risk Management,Insurance Risk,LPG 240 Life Insurance Risk and Life Reinsurance Management,LPG 240 Life Insurance Risk and Life Reinsurance Management provides guidance for life insurers on LPS 230 Reinsurance Management.,Prudential practice guide,LPG 240,https://handbook.apra.gov.au/ppg/lpg-240-superseded,Life insurance,Superseded,1 March 2007
Risk Management,Credit Risk,APG 223 Residential Mortgage Lending,APG 223 Residential Mortgage Lending provides guidance for ADIs on their core risk management requirements.,Prudential practice guide,APG 223,https://handbook.apra.gov.au/ppg/apg-223-superseded,Banking,Superseded,1 January 2023
Business Operations,Business Operations,SPG 516 Business Performance Review,SPG 516 Business Performance Review provides guidance for RSE licensees on SPS 515 Strategic Planning and Member Outcomes.,Prudential practice guide,SPG 516,https://handbook.apra.gov.au/ppg/spg-516-superseded,Superannuation,Superseded,1 January 2020
Risk Management,Operational Risk,SPG 231 Outsourcing,SPG 231 Outsourcing provides guidance for RSE licensees on SPS 231 Outsourcing.,Prudential practice guide,SPG 231,https://handbook.apra.gov.au/ppg/spg-231-superseded,Superannuation,Superseded,1 July 2013
Recovery and Resolution,Resolution,SPG 227 Successor Fund Transfers and Wind-ups,SPG 227 Successor Fund Transfers and Wind-ups provides guidance to RSE licensees on managing risks from transferring members' benefits.,Prudential practice guide,SPG 227,https://handbook.apra.gov.au/ppg/spg-227-superseded,Superannuation,Superseded,1 July 2017
Risk Management,Operational Risk,SPG 232 Business Continuity Management,SPG 232 Business Continuity Management provides guidance for RSE licensees on SPS 232 Business Continuity Management.,Prudential practice guide,SPG 232,https://handbook.apra.gov.au/ppg/spg-232-superseded,Superannuation,Superseded,1 July 2013
Risk Management,Operational Risk,CPG 231 Outsourcing,"CPG 231 Outsourcing provides guidance for ADIs, general insurers and life insurers on CPS 231 Outsourcing.",Prudential practice guide,CPG 231,https://handbook.apra.gov.au/ppg/cpg-231-superseded,"Banking, General insurance, Life insurance",Superseded,1 October 2006
Business Operations,Business Operations,SPG 114 Operational Risk Financial Requirement,SPG 114 Operational Risk Financial Requirement provides guidance for RSE licensees on SPS 114 Operational Risk Financial Requirement.,Prudential practice guide,SPG 114,https://handbook.apra.gov.au/ppg/spg-114-superseded,Superannuation,Superseded,1 July 2013
Business Operations,Business Operations,SPG 515 Strategic and Business Planning,SPG 515 Strategic and Business Planning provides guidance for RSE licensees on SPS 515 Strategic Planning and Member Outcomes.,Prudential practice guide,SPG 515,https://handbook.apra.gov.au/ppg/spg-515-superseded,Superannuation,Superseded,1 January 2020
Financial Resilience,Capital,APG 117 Interest Rate Risk in the Banking Book (Advanced ADIs),APG 117 Interest Rate Risk in the Banking Book (Advanced ADIs) provides guidance for ADIs on APS 117 Interest Rate Risk.,Prudential practice guide,APG 117,https://handbook.apra.gov.au/ppg/apg-117-superseded,Banking,Superseded,1 January 2008
Risk Management,Operational Risk,CPG 233 Pandemic Planning,CPG 233 Pandemic Planning provides guidance for all entities on their core risk management requirements.,Prudential practice guide,CPG 233,https://handbook.apra.gov.au/ppg/cpg-233-superseded,"Banking, General insurance, Superannuation",Superseded,1 May 2013
Financial Resilience,Liquidity,APG 210 Liquidity,APG 210 Liquidity provides guidance for ADIs on APS 210 Liquidity.,Prudential practice guide,APG 210,https://handbook.apra.gov.au/ppg/apg-210-superseded-0,Banking,Superseded,17 July 2024
Governance,Board,Trust deeds and governing rules,These FAQs relate to information required for RSE registration. They apply to RSE licensees.,Frequently asked questions,,https://qa.handbook.apra.gov.au/faq/695/trust-deeds-and-governing-rules,Superannuation,Current,30 July 2022
Financial Resilience,Capital,Historical rate rollovers,These FAQs relate to APS 180 Capital Adequacy: Counterparty Credit Risk. They apply to ADIs.,Frequently asked questions,,https://qa.handbook.apra.gov.au/faq/890/historical-rate-rollovers,Banking,Current,12 March 2021
Business Operations,Business Operations,"Your Future, Your Super",These FAQs relate to the annual performance test. They apply to RSE licensees.,Frequently asked questions,,https://qa.handbook.apra.gov.au/faq/658/your-future-your-super,Superannuation,Current,15 June 2022
Business Operations,Business Operations,Putting Members' Interests First requirements,These FAQs relate to the default insurance legal reforms. They relate to RSE licensees.,Frequently asked questions,,https://qa.handbook.apra.gov.au/faq/423/putting-members-interests-first-requirements,Superannuation,Current,20 March 2020
Business Operations,Business Operations,Operational Risk Financial Requirement,These FAQs relate to the operational risk financial requirement. They apply to RSE licensees.,Frequently asked questions,,https://qa.handbook.apra.gov.au/faq/2464/operational-risk-financial-requirement,Superannuation,Current,31 August 2015
Business Operations,Business Operations,Insurance in Superannuation,These FAQs relate to insurance in superannuation. They apply to RSE licensees.,Frequently asked questions,,https://qa.handbook.apra.gov.au/faq/2462/insurance-superannuation,Superannuation,Current,31 August 2015
Governance,Audit,Audit,These FAQs relate to audit requirements. They apply to RSE licensees.,Frequently asked questions,,https://qa.handbook.apra.gov.au/faq/2466/audit-0,Superannuation,Current,31 August 2015
Governance,,Conflicts of interest,These FAQs relate to conflicts of interest requirements. They apply to RSE licensees.,Frequently asked questions,,https://qa.handbook.apra.gov.au/faq/2469/conflicts-interest,Superannuation,Current,31 August 2015
Risk Management,Market Risk,Margining and risk mitigation for non-centrally cleared derivatives,These FAQs relate to CPS 226 Margining and Risk Mitigation for Non-centrally Cleared Derivatives. They apply to all entities other than private health insurers.,Frequently asked questions,,https://qa.handbook.apra.gov.au/faq/437/margining-and-risk-mitigation-non-centrally-cleared-derivatives,"Banking, General insurance, Life insurance, Superannuation",Current,1 June 2020
Risk Management,Operational Risk,Outsourcing,These FAQs relate to outsourcing requirements. They apply to RSE licensees.,Frequently asked questions,,https://qa.handbook.apra.gov.au/faq/2463/outsourcing,Superannuation,Current,31 August 2015
Business Operations,Business Operations,Protecting your Super package,This FAQ provides information on the implementation of the Protecting Your Superannuation package,Frequently asked questions,,https://qa.handbook.apra.gov.au/faq/540/protecting-your-super-package,Superannuation,Current,21 October 2021
Financial Resilience,Capital,Securitisation - Frequently asked questions,This FAQ assists with interpretation of Securitisation related requirements in APS 120 and APG 120,Frequently asked questions,,https://qa.handbook.apra.gov.au/faq/712/securitisation-frequently-asked-questions,Banking,Current,30 July 2022
Business Operations,Business Operations,Actuarial functions and reporting obligations under the SIS act,This FAQ clarifies APRA's interpretation of an actuarial assistance under the SIS Act.,Frequently asked questions,,https://qa.handbook.apra.gov.au/faq/697/actuarial-functions-and-reporting-obligations-under-sis-act,Superannuation,Current,30 July 2022
Governance,Accountability,Fit and Proper,These FAQs relate to fitness and propriety assessments of responsible persons. They apply to RSE licensees.,Frequently asked questions,,https://qa.handbook.apra.gov.au/faq/2465/fit-and-proper,Superannuation,Current,31 August 2015
Financial Resilience,Capital,Measurement of Capital,These FAQ's relate to a range of topics relvant to the measurement of capital in the Banking and Insurance industries,Frequently asked questions,,https://qa.handbook.apra.gov.au/faq/579/measurement-capital-0,"Banking, General insurance",Current,12 July 2021
Business Operations,Business Operations,SuperStream rollovers,These FAQs relate to SuperStream payments. They apply to RSE licensees.,Frequently asked questions,,https://qa.handbook.apra.gov.au/faq/307/superstream-rollovers,Superannuation,Current,4 July 2017
Financial Resilience,Capital,Calculation of credit risk weighted assets,They FAQs relate to the capital treatment for loans under the Home Guarantee Scheme. They apply to ADIs.,Frequently asked questions,,https://qa.handbook.apra.gov.au/faq/663/calculation-credit-risk-weighted-assets,Banking,Current,24 June 2022
Financial Resilience,Capital,Valuation adjustments,These FAQs relate to APS 111 Capital Adequacy: Measurement of Capital and APS 116 Capital Adequacy: Market Risk. They apply to ADIs.,Frequently asked questions,,https://qa.handbook.apra.gov.au/faq/373/valuation-adjustments,Banking,Current,8 May 2019
Financial Resilience,Capital,Asset risk charge,These FAQs relate to GPS 114 Capital Adequacy: Asset Risk Charge. They apply to general insurers.,Frequently asked questions,,https://qa.handbook.apra.gov.au/faq/381/asset-risk-charge,General insurance,Current,6 June 2019
Recovery and Resolution,Resolution,Financial Claims Scheme and general insurers,These FAQs relate to the Financial Claims Scheme. They apply to general insurers.,Frequently asked questions,,https://qa.handbook.apra.gov.au/faq/646/financial-claims-scheme-and-general-insurers-0,General insurance,Current,28 April 2022
Business Operations,Business Operations,Payment Standards,These FAQs relate to transferring or rolling over benefits under the Superannuation Industry (Supervision) Regulations 1994. They apply to RSE licensees.,Frequently asked questions,,https://qa.handbook.apra.gov.au/faq/2461/payment-standards,Superannuation,Current,31 August 2015
Governance,Definitions,Tax file numbers,These FAQs relate to requirements to collect tax numbers. They apply to RSE licensees.,Frequently asked questions,,https://qa.handbook.apra.gov.au/faq/694/tax-file-numbers-0,Superannuation,Current,30 July 2022
Risk Management,Credit Risk,Large exposures,These FAQs relate to APS 221 Large Exposures and Reporting Standard ARS 221.0 Large Exposures. They apply to ADIs.,Frequently asked questions,,https://qa.handbook.apra.gov.au/faq/408/large-exposures,Banking,Current,18 December 2019
Business Operations,Business Operations,Retirement income covenant,These FAQs relate to the retirement income covenant. They apply to RSE licensees.,Frequently asked questions,,https://qa.handbook.apra.gov.au/faq/651/retirement-income-covenant-0,Superannuation,Current,1 June 2022
Recovery and Resolution,Resolution,Financial Claims Scheme and ADIs,These FAQs relate to the Financial Claims Scheme. They apply to ADIs.,Frequently asked questions,,https://qa.handbook.apra.gov.au/faq/348/financial-claims-scheme-and-adis,Banking,Current,27 September 2018
Risk Management,Credit Risk,Associations with related entities,These FAQs relate to APS 222 Associations with Related Entities. They apply to ADIs.,Frequently asked questions,,https://qa.handbook.apra.gov.au/faq/637/associations-related-entities,Banking,Current,1 April 2022
Financial Resilience,Capital,Capital treatment of overseas entities,These FAQs relate to APS 111 Capital Adequacy: Measurement of Capital. They apply to ADIs.,Frequently asked questions,,https://qa.handbook.apra.gov.au/faq/889/capital-treatment-overseas-entities,Banking,Current,15 September 2021
Financial Resilience,Liquidity,Liquidity,These FAQs assist with interpreting the requirements of APS 120 Liquidity.,Frequently asked questions,,https://handbook.apra.gov.au/faq/699/liquidity,Banking,Current,30 July 2022
Business Operations,Business Operations,MySuper,These FAQs relate to MySuper under the Superannuation Industry (Supervision) Act 1993. They apply to RSE licensees.,Frequently asked questions,,https://handbook.apra.gov.au/faq/254/mysuper-0,Superannuation,Current,29 March 2016
